Date,Description,Amount,Type,Description_Clean,Category,Match_Score,Matched_Rule,Auto_Approved,Suggestion_1,Suggestion_2,Suggestion_3
2024-01-27,B&Q WAREHOUSE PAINT SUPPLIES,-87.45,Debit,bq warehouse paint supplies,Home Improvement,100.0,bq,True,,,
2024-01-27,MORRISONS SUPERMARKET,-38.91,Debit,morrisons supermarket,Groceries,100.0,morrisons,True,,,
2024-01-27,PART TIME JOB PAYMENT,180.0,Credit,part time job,Uncategorised,46.74,justeat store,False,No Match (0.0%),No Match (0.0%),No Match (0.0%)
2024-01-28,ADDISON LEE TAXI SERVICE,-25.6,Debit,addison lee taxi service,Travel,100.0,addison lee,True,,,
2024-01-28,JOHN LEWIS PARTNERSHIP,-156.0,Debit,john lewis partnership,Clothing,100.0,john lewis,True,,,
2024-01-29,ESSO EXPRESS FUEL STATION,-44.8,Debit,esso express fuel station,Fuel,100.0,esso,True,,,
2024-01-29,RESTAURANT UNKNOWN NAME,-42.5,Debit,restaurant unknown name,Uncategorised,47.78,rent,False,No Match (0.0%),No Match (0.0%),No Match (0.0%)
2024-01-29,INSURANCE CLAIM PAYOUT,275.0,Credit,insurance claim payout,Utilities,100.0,insurance,True,,,
2024-01-30,ELECTRIC UTILITY BILL PAYMENT,-89.0,Debit,electric utility bill,Utilities,93.85,electric bill,False,,,
2024-01-30,GAS SUPPLY MONTHLY CHARGE,-65.5,Debit,gas supply monthly charge,Uncategorised,59.39,gas bill,False,Utilities (59.39%),No Match (0.0%),No Match (0.0%)
2024-01-31,COUNCIL TAX DIRECT DEBIT,-125.0,Debit,council tax direct,Utilities,100.0,council tax,True,,,
2024-01-31,TAX REFUND HMRC,156.8,Credit,tax refund hmrc,Uncategorised,54.12,hm,False,Clothing (54.12%),No Match (0.0%),No Match (0.0%)
2024-02-01,MORTGAGE PAYMENT TO HALIFAX,-1250.0,Debit,mortgage to halifax,Utilities,100.0,mortgage,True,,,
2024-02-01,PHONE BILL THREE MOBILE,-35.0,Debit,phone bill three mobile,Utilities,100.0,phone bill,True,,,
2024-02-01,RENTAL INCOME PROPERTY,650.0,Credit,rental income property,Uncategorised,58.46,rent,False,Utilities (58.46%),No Match (0.0%),No Match (0.0%)
2024-02-02,INSURANCE DIRECT DEBIT AVIVA,-78.99,Debit,insurance direct aviva,Utilities,100.0,insurance,True,,,
2024-02-02,INTERNET BROADBAND BT GROUP,-32.99,Debit,internet broadband bt group,Uncategorised,80.5,internet bill,False,Utilities (80.5%),No Match (0.0%),No Match (0.0%)
2024-02-03,WATER BILL THAMES WATER,-42.5,Debit,water bill thames water,Utilities,100.0,water bill,True,,,
2024-02-03,RANDOM COFFEE SHOP CAMDEN,-4.2,Debit,random coffee shop camden,Uncategorised,66.67,costa coffee,False,Dining (66.67%),Dining (58.63%),Dining (56.73%)
2024-02-03,GIFT MONEY TRANSFER,100.0,Credit,gift money transfer,Uncategorised,52.63,trainline store,False,Travel (52.63%),No Match (0.0%),No Match (0.0%)
2024-02-04,UNKNOWN PETROL STATION M25,-38.75,Debit,unknown petrol station m25,Uncategorised,43.48,netflix subscription,False,No Match (0.0%),No Match (0.0%),No Match (0.0%)
2024-02-04,MYSTERY SUPERMARKET RECEIPT,-28.9,Debit,mystery supermarket receipt,Uncategorised,45.95,uber store,False,No Match (0.0%),No Match (0.0%),No Match (0.0%)
2024-02-05,FOOD DELIVERY APP ORDER,-15.8,Debit,food delivery app order,Uncategorised,67.72,deliveroo store,False,Dining (67.72%),Dining (64.86%),Dining (61.88%)
2024-02-05,CLOTHING STORE PURCHASE,-67.25,Debit,clothing store,Uncategorised,80.44,bp store,False,Fuel (80.44%),Clothing (80.44%),Home Improvement (80.44%)
2024-02-05,SURVEY PAYMENT ONLINE,25.0,Credit,survey online,Uncategorised,83.0,bp online,False,Fuel (83.0%),Clothing (83.0%),Home Improvement (83.0%)
2024-02-06,TECH STORE ELECTRONICS,-89.99,Debit,tech store electronics,Uncategorised,81.15,hm store,False,Clothing (81.15%),Fuel (76.15%),Home Improvement (76.15%)
2024-02-06,PHARMACY PRESCRIPTION,-12.35,Debit,pharmacy prescription,Health,100.0,pharmacy,True,,,
2024-02-07,HOME IMPROVEMENT STORE,-145.6,Debit,home improvement store,Uncategorised,80.44,bp store,False,Fuel (80.44%),Clothing (80.44%),Home Improvement (80.44%)
2024-02-07,TRANSPORT PAYMENT CARD TOPUP,-25.0,Debit,transport card topup,Uncategorised,48.35,trainline store,False,No Match (0.0%),No Match (0.0%),No Match (0.0%)
2024-02-07,BONUS PAYMENT WORK,300.0,Credit,bonus work,Uncategorised,58.29,boots store,False,Health (58.29%),Groceries (54.06%),Dining (52.8%)
2024-02-08,SUBSCRIPTION SERVICE MONTHLY,-11.99,Debit,subscription service monthly,Uncategorised,88.89,bp subscription,False,Fuel (88.89%),Clothing (88.89%),Home Improvement (88.89%)
2024-02-08,GROCERY SHOPPING WEEKLY,-72.45,Debit,grocery shopping weekly,Uncategorised,44.87,greggs store,False,No Match (0.0%),No Match (0.0%),No Match (0.0%)
2024-02-09,RESTAURANT DINING EXPERIENCE,-89.5,Debit,restaurant dining experience,Uncategorised,52.55,trainline express,False,Travel (52.55%),No Match (0.0%),No Match (0.0%)
2024-02-09,FUEL PAYMENT AT STATION,-41.2,Debit,fuel at station,Uncategorised,52.19,justeat subscription,False,Dining (52.19%),Dining (51.82%),Dining (51.67%)
2024-02-09,INTEREST EARNED SAVINGS,12.45,Credit,interest earned savings,Uncategorised,55.76,internet bill,False,Utilities (55.76%),Groceries (50.0%),No Match (0.0%)
