description,category
Transfer from Holland & Barrett on 26 Sep 2024,Health & Beauty
Card Payment to YouTube Premium on 07 Jul 2023,Entertainment
Card Payment to BT Broadband on 22 Feb 2025,Utilities
Standing Order to Uber on 30 Mar 2024,Travel
Transfer from iShares on 13 Aug 2024,Investment
Direct Debit from Marks & Spencer on 27 May 2024,Groceries
Transfer from iShares on 06 Nov 2023,Investment
Direct Debit from EasyJet on 12 Nov 2023,Travel
Direct Debit from Starbucks on 10 May 2024,Food & Drink
Direct Debit from Hargreaves Lansdown on 06 May 2024,Investment
Card Payment to Premier Inn on 25 May 2024,Accommodation
Faster Payment to Spotify on 12 Jul 2024,Entertainment
Card Payment to EE on 22 Mar 2025,Utilities
Transfer from EE on 12 Apr 2024,Utilities
Direct Debit from Direct Line on 25 May 2024,Insurance
Transfer from Uber on 21 Apr 2024,Travel
Faster Payment to Travelodge on 07 Oct 2024,Accommodation
Standing Order to Currys PC World on 25 Apr 2024,Technology
Transfer from Spotify on 19 Feb 2025,Entertainment
Card Payment to Barclays Interest on 25 Feb 2025,Income
Faster Payment to PayPal on 26 Dec 2024,Transfer
Direct Debit from Costa Coffee on 22 Jun 2023,Food & Drink
Standing Order to Disney Plus on 10 Nov 2023,Entertainment
Direct Debit from EasyJet on 28 Dec 2024,Travel
Faster Payment to Tesco on 09 Jan 2024,Groceries
Faster Payment to Greggs on 17 Jul 2023,Food & Drink
Transfer from Lidl on 06 Oct 2024,Groceries
Direct Debit from Starbucks on 27 Mar 2025,Food & Drink
Faster Payment to Currys PC World on 14 Apr 2025,Technology
Card Payment to Sainsbury's on 05 Aug 2023,Groceries
Transfer from EasyJet on 27 May 2025,Travel
Card Payment to Direct Line on 13 Aug 2024,Insurance
Faster Payment to Revolut on 25 Nov 2024,Transfer
Standing Order to Payroll Ltd on 19 Dec 2023,Income
Transfer from HMRC Refund on 26 Jun 2023,Income
Faster Payment to Uber on 29 Oct 2023,Travel
Card Payment to Netflix on 31 Mar 2025,Entertainment
Direct Debit from Costa Coffee on 19 Sep 2024,Food & Drink
Faster Payment to TFL on 14 Sep 2024,Travel
Card Payment to IKEA on 07 Aug 2024,Shopping
Faster Payment to Heathrow Express on 03 Apr 2025,Travel
Direct Debit from Direct Line on 29 Jan 2024,Insurance
Standing Order to PayPal on 22 Aug 2023,Transfer
Direct Debit from AXA UK on 02 Oct 2023,Insurance
Card Payment to Pret A Manger on 10 Jun 2023,Food & Drink
Card Payment to Uber on 08 Nov 2023,Travel
Card Payment to Vodafone on 15 May 2025,Utilities
Direct Debit from Lidl on 08 Jul 2023,Groceries
Transfer from Apple.com/Bill on 29 Oct 2023,Technology
Standing Order to Transferwise on 11 Mar 2025,Transfer
Transfer from Thames Water on 08 Nov 2023,Utilities
Direct Debit from Travelodge on 04 Mar 2024,Accommodation
Card Payment to Premier Inn on 29 Jul 2024,Accommodation
Direct Debit from HMRC Refund on 30 Oct 2023,Income
Transfer from Lidl on 22 Jun 2024,Groceries
Card Payment to Sainsbury's on 21 Dec 2023,Groceries
Standing Order to Hargreaves Lansdown on 17 Aug 2023,Investment
Standing Order to YouTube Premium on 10 Aug 2024,Entertainment
Transfer from Amazon on 20 Jun 2024,Shopping
Faster Payment to Payroll Ltd on 02 May 2025,Income
Faster Payment to Airbnb on 10 Apr 2024,Accommodation
Card Payment to HMRC Refund on 02 May 2025,Income
Card Payment to Google Storage on 08 Jul 2023,Technology
Faster Payment to Sainsbury's on 05 Dec 2023,Groceries
Standing Order to Lidl on 16 May 2025,Groceries
Standing Order to Vodafone on 14 Jan 2024,Utilities
Faster Payment to Costa Coffee on 28 Feb 2024,Food & Drink
Faster Payment to IKEA on 04 Jan 2024,Shopping
Faster Payment to Trainline on 14 Apr 2025,Travel
Direct Debit from Uber on 06 Dec 2023,Travel
Direct Debit from Vodafone on 19 Aug 2024,Utilities
Standing Order to EasyJet on 15 Oct 2024,Travel
Standing Order to Microsoft 365 on 29 Nov 2024,Technology
Card Payment to Sainsbury's on 10 May 2025,Groceries
Card Payment to iShares on 30 Aug 2024,Investment
Transfer from Thames Water on 19 Jun 2024,Utilities
Standing Order to Spotify on 09 Jul 2023,Entertainment
Card Payment to McDonald's on 23 Oct 2023,Food & Drink
Standing Order to Heathrow Express on 26 Jun 2023,Travel
Card Payment to Starbucks on 23 Nov 2024,Food & Drink
Direct Debit from Starbucks on 30 Jan 2024,Food & Drink
Card Payment to Premier Inn on 14 Jun 2023,Accommodation
Card Payment to Premier Inn on 04 Oct 2024,Accommodation
Standing Order to eBay on 07 Oct 2023,Shopping
Standing Order to Boots UK on 01 Jan 2024,Health & Beauty
Direct Debit from Boots UK on 20 May 2025,Health & Beauty
Transfer from Superdrug on 27 Mar 2024,Health & Beauty
Card Payment to Aldi on 19 May 2024,Groceries
Card Payment to Revolut on 30 Oct 2023,Transfer
Card Payment to Netflix on 04 Dec 2023,Entertainment
Direct Debit from Holland & Barrett on 27 Mar 2024,Health & Beauty
Direct Debit from Lidl on 12 Aug 2023,Groceries
Standing Order to Vanguard on 14 Nov 2024,Investment
Standing Order to John Lewis on 22 Aug 2024,Shopping
Standing Order to Wilko on 12 Aug 2024,Shopping
Faster Payment to Vanguard on 06 Oct 2024,Investment
Faster Payment to Vanguard on 21 Feb 2025,Investment
Direct Debit from Costa Coffee on 05 Aug 2024,Food & Drink
Faster Payment to eBay on 31 Dec 2023,Shopping
Direct Debit from Pret A Manger on 21 Jan 2024,Food & Drink
Transfer from Pret A Manger on 12 Jun 2024,Food & Drink
Transfer from Transferwise on 24 Mar 2025,Transfer
Transfer from HMRC Refund on 19 Feb 2024,Income
Transfer from Asda on 15 Jan 2025,Groceries
Faster Payment to PayPal on 23 Oct 2024,Transfer
Direct Debit from PayPal on 23 Aug 2024,Transfer
Transfer from Direct Line on 14 Apr 2025,Insurance
Transfer from Greggs on 26 Apr 2024,Food & Drink
Card Payment to Premier Inn on 18 Mar 2024,Accommodation
Transfer from Uber on 22 Nov 2024,Travel
Standing Order to iShares on 05 Sep 2024,Investment
Standing Order to Boots UK on 12 Nov 2023,Health & Beauty
Direct Debit from HMRC Refund on 23 Jun 2024,Income
Card Payment to EE on 04 Jan 2024,Utilities
Standing Order to Aviva on 28 May 2024,Insurance
Standing Order to Pret A Manger on 18 Jan 2025,Food & Drink
Transfer from PayPal on 07 Jul 2024,Transfer
Card Payment to Wagamama on 02 Jul 2023,Food & Drink
Direct Debit from Premier Inn on 11 Jun 2023,Accommodation
Faster Payment to John Lewis on 23 Dec 2023,Shopping
Card Payment to Superdrug on 30 Mar 2025,Health & Beauty
Transfer from EE on 10 May 2024,Utilities
Card Payment to PayPal on 09 Oct 2024,Transfer
Faster Payment to Thames Water on 31 Mar 2025,Utilities
Direct Debit from Premier Inn on 10 Feb 2025,Accommodation
Standing Order to Superdrug on 30 Dec 2024,Health & Beauty
Transfer from McDonald's on 28 May 2024,Food & Drink
Faster Payment to Wilko on 03 Oct 2023,Shopping
Direct Debit from Google Storage on 18 Apr 2024,Technology
Card Payment to McDonald's on 01 Mar 2025,Food & Drink
Standing Order to Heathrow Express on 19 Oct 2024,Travel
Faster Payment to HMRC Refund on 06 Apr 2024,Income
Direct Debit from Tesco on 07 Jul 2023,Groceries
Standing Order to Transferwise on 29 Nov 2024,Transfer
Standing Order to Currys PC World on 05 Jan 2024,Technology
Direct Debit from Travelodge on 28 Nov 2023,Accommodation
Card Payment to EE on 18 Sep 2024,Utilities
Card Payment to Tesco on 08 Mar 2024,Groceries
Direct Debit from Microsoft 365 on 26 Oct 2024,Technology
Transfer from Boots UK on 07 Apr 2024,Health & Beauty
Faster Payment to Vodafone on 13 Nov 2024,Utilities
Faster Payment to Aviva on 19 Mar 2025,Insurance
Card Payment to Aviva on 10 Nov 2023,Insurance
Card Payment to YouTube Premium on 13 Apr 2024,Entertainment
Card Payment to Costa Coffee on 22 Aug 2023,Food & Drink
Transfer from Marks & Spencer on 06 Jun 2024,Groceries
Faster Payment to Superdrug on 27 Oct 2023,Health & Beauty
Card Payment to Holland & Barrett on 23 May 2025,Health & Beauty
Card Payment to McDonald's on 09 Jun 2023,Food & Drink
Faster Payment to eBay on 01 Mar 2024,Shopping
Faster Payment to HMRC Refund on 25 Jan 2024,Income
Transfer from Thames Water on 13 Jul 2024,Utilities
Card Payment to Direct Line on 23 Apr 2025,Insurance
Transfer from EasyJet on 21 Dec 2023,Travel
Faster Payment to Sainsbury's on 19 Oct 2023,Groceries
Transfer from Sainsbury's on 01 Oct 2024,Groceries
Direct Debit from Aviva on 01 Dec 2023,Insurance
Direct Debit from Premier Inn on 25 May 2025,Accommodation
Standing Order to Amazon on 15 Nov 2023,Shopping
Standing Order to BT Broadband on 12 Mar 2024,Utilities
Faster Payment to Airbnb on 29 Jan 2025,Accommodation
Standing Order to Asda on 16 Jul 2024,Groceries
Standing Order to HMRC Refund on 22 Feb 2024,Income
Direct Debit from Tesco on 28 Nov 2023,Groceries
Standing Order to Tesco on 07 Apr 2024,Groceries
Faster Payment to Spotify on 10 Feb 2025,Entertainment
Transfer from McDonald's on 19 Aug 2023,Food & Drink
Faster Payment to Barclays Interest on 24 Aug 2024,Income
Direct Debit from Travelodge on 26 Sep 2023,Accommodation
Card Payment to PayPal on 16 Aug 2024,Transfer
Faster Payment to Payroll Ltd on 08 Mar 2025,Income
Standing Order to Travelodge on 19 Mar 2025,Accommodation
Transfer from Vodafone on 19 Apr 2025,Utilities
Direct Debit from Currys PC World on 19 May 2025,Technology
Faster Payment to Heathrow Express on 04 May 2025,Travel
Transfer from Netflix on 18 Mar 2025,Entertainment
Standing Order to Costa Coffee on 04 Sep 2023,Food & Drink
Transfer from Payroll Ltd on 13 Sep 2023,Income
Direct Debit from Currys PC World on 16 Nov 2023,Technology
Faster Payment to Netflix on 25 Dec 2023,Entertainment
Faster Payment to Heathrow Express on 25 Apr 2025,Travel
Standing Order to Tesco on 01 Oct 2024,Groceries
Standing Order to Transferwise on 18 Jan 2024,Transfer
Direct Debit from Costa Coffee on 30 Apr 2025,Food & Drink
Card Payment to Vanguard on 27 Jul 2023,Investment
Standing Order to YouTube Premium on 13 Jan 2025,Entertainment
Direct Debit from Vodafone on 13 Sep 2023,Utilities
Direct Debit from Apple.com/Bill on 04 Oct 2024,Technology
Card Payment to EasyJet on 16 Nov 2024,Travel
Direct Debit from YouTube Premium on 26 Jul 2024,Entertainment
Faster Payment to Travelodge on 15 Feb 2025,Accommodation
Card Payment to iShares on 03 Jul 2023,Investment
Standing Order to PayPal on 19 Nov 2023,Transfer
Card Payment to PayPal on 07 Dec 2024,Transfer
Standing Order to AXA UK on 09 Oct 2023,Insurance
Card Payment to BT Broadband on 21 Aug 2023,Utilities
Card Payment to Lidl on 19 Feb 2024,Groceries
Card Payment to Trainline on 01 May 2024,Travel
Card Payment to Amazon on 19 Dec 2024,Shopping
Transfer from Aviva on 02 Mar 2025,Insurance
Transfer from Heathrow Express on 28 Feb 2024,Travel
Faster Payment to John Lewis on 10 Oct 2023,Shopping
Faster Payment to Tesco on 22 Jun 2024,Groceries
Direct Debit from Aldi on 06 Mar 2025,Groceries
Standing Order to Revolut on 14 Jan 2025,Transfer
Standing Order to PayPal on 08 May 2025,Transfer
Card Payment to Wagamama on 03 Dec 2024,Food & Drink
Card Payment to Amazon on 07 Jun 2024,Shopping
Card Payment to Netflix on 30 Nov 2023,Entertainment
Faster Payment to McDonald's on 29 Sep 2023,Food & Drink
Standing Order to Thames Water on 01 Feb 2024,Utilities
Faster Payment to Hargreaves Lansdown on 20 Jul 2023,Investment
Faster Payment to Payroll Ltd on 13 Dec 2023,Income
Standing Order to Pret A Manger on 07 Feb 2024,Food & Drink
Direct Debit from Premier Inn on 11 Jan 2025,Accommodation
Transfer from Wilko on 11 Jul 2023,Shopping
Card Payment to YouTube Premium on 23 May 2025,Entertainment
Transfer from Marks & Spencer on 28 Jan 2024,Groceries
Transfer from Thames Water on 15 Mar 2024,Utilities
Card Payment to Microsoft 365 on 21 Apr 2025,Technology
Card Payment to eBay on 27 Jul 2024,Shopping
Direct Debit from Apple.com/Bill on 09 May 2024,Technology
Transfer from Google Storage on 05 Dec 2023,Technology
Transfer from HMRC Refund on 05 Nov 2023,Income
Transfer from Transferwise on 22 Jan 2024,Transfer
Standing Order to Superdrug on 23 Sep 2024,Health & Beauty
Faster Payment to iShares on 15 Jul 2024,Investment
Transfer from AXA UK on 28 Nov 2023,Insurance
Transfer from Airbnb on 01 Nov 2023,Accommodation
Transfer from Hargreaves Lansdown on 04 Feb 2025,Investment
Transfer from AXA UK on 11 Nov 2023,Insurance
Faster Payment to BT Broadband on 25 Jun 2023,Utilities
Card Payment to Wagamama on 27 Nov 2024,Food & Drink
Card Payment to Uber on 03 Sep 2023,Travel
Transfer from Heathrow Express on 18 Oct 2024,Travel
Direct Debit from Netflix on 19 Jul 2023,Entertainment
Card Payment to Airbnb on 24 Dec 2024,Accommodation
Card Payment to EasyJet on 22 Apr 2024,Travel
Standing Order to Currys PC World on 13 Sep 2023,Technology
Card Payment to PayPal on 14 Jul 2024,Transfer
Direct Debit from Spotify on 22 Aug 2023,Entertainment
Card Payment to Sainsbury's on 27 Feb 2025,Groceries
Faster Payment to eBay on 07 Jul 2023,Shopping
Standing Order to EE on 09 Nov 2023,Utilities
Standing Order to Trainline on 04 Apr 2024,Travel
Transfer from iShares on 23 Oct 2023,Investment
Faster Payment to TFL on 14 Feb 2024,Travel
Card Payment to Direct Line on 09 Dec 2023,Insurance
Faster Payment to Netflix on 26 Jul 2024,Entertainment
Standing Order to IKEA on 25 Jul 2023,Shopping
Direct Debit from Wilko on 17 Mar 2025,Shopping
Standing Order to Barclays Interest on 28 Apr 2025,Income
Card Payment to Wilko on 08 Aug 2023,Shopping
Direct Debit from Aldi on 02 Jul 2023,Groceries
Standing Order to BT Broadband on 08 Apr 2024,Utilities
Transfer from Tesco on 09 Dec 2023,Groceries
Faster Payment to Aldi on 19 Feb 2024,Groceries
Transfer from Airbnb on 05 Aug 2023,Accommodation
Faster Payment to McDonald's on 05 Nov 2024,Food & Drink
Card Payment to Asda on 25 Apr 2025,Groceries
Standing Order to EasyJet on 16 Jun 2023,Travel
Direct Debit from Wagamama on 02 May 2025,Food & Drink
Card Payment to Trainline on 04 Sep 2024,Travel
Standing Order to Costa Coffee on 06 Nov 2023,Food & Drink
Direct Debit from Aviva on 11 Jan 2025,Insurance
Standing Order to Sainsbury's on 07 Dec 2023,Groceries
Standing Order to Revolut on 08 Jan 2024,Transfer
Transfer from Microsoft 365 on 08 Dec 2023,Technology
Card Payment to Premier Inn on 15 Aug 2023,Accommodation
Faster Payment to Premier Inn on 01 May 2024,Accommodation
Transfer from Airbnb on 06 May 2025,Accommodation
Transfer from Vanguard on 22 Sep 2024,Investment
Card Payment to Lidl on 22 Sep 2023,Groceries
Standing Order to PayPal on 30 Sep 2024,Transfer
Card Payment to Wagamama on 08 Jan 2025,Food & Drink
Direct Debit from Pret A Manger on 27 Feb 2024,Food & Drink
Standing Order to Marks & Spencer on 04 Feb 2025,Groceries
Faster Payment to Sainsbury's on 09 Nov 2024,Groceries
Direct Debit from Holland & Barrett on 03 Sep 2024,Health & Beauty
Direct Debit from Boots UK on 10 Aug 2024,Health & Beauty
Card Payment to iShares on 14 Feb 2025,Investment
Faster Payment to John Lewis on 16 Feb 2024,Shopping
Standing Order to Vodafone on 14 Feb 2024,Utilities
Card Payment to Superdrug on 21 Jan 2025,Health & Beauty
Direct Debit from Microsoft 365 on 23 Jun 2024,Technology
Standing Order to Wilko on 03 Sep 2024,Shopping
Transfer from British Gas on 07 Feb 2025,Utilities
Transfer from Costa Coffee on 18 Apr 2024,Food & Drink
Standing Order to EE on 21 Dec 2023,Utilities
Transfer from Wagamama on 26 Dec 2024,Food & Drink
Transfer from John Lewis on 29 Mar 2024,Shopping
Standing Order to Greggs on 05 Nov 2024,Food & Drink
Standing Order to iShares on 17 May 2025,Investment
Faster Payment to Revolut on 08 Nov 2024,Transfer
Transfer from Aviva on 27 Aug 2023,Insurance
Transfer from Hargreaves Lansdown on 22 Feb 2024,Investment
Direct Debit from IKEA on 24 Jun 2024,Shopping
Faster Payment to Superdrug on 24 Sep 2024,Health & Beauty
Standing Order to Aldi on 27 Sep 2024,Groceries
Direct Debit from Disney Plus on 13 Apr 2025,Entertainment
Transfer from Netflix on 02 Apr 2025,Entertainment
Card Payment to Wagamama on 26 Jun 2023,Food & Drink
Standing Order to Superdrug on 29 Mar 2025,Health & Beauty
Faster Payment to Wilko on 05 Aug 2024,Shopping
