Description,Category
Online: Admin fee from bank - Thank you,Bank Charges
Payment - Cashpoint fee - Processed,Cash withdrawal
Faster Payments - IT accessories,Computer Consumables
Telephone services - BT - Thank you,Telephone
Online: JLL service cost,Management Service Charge
BACS: Telephone services - BT (Monthly),Telephone
Transaction: ScottishPower electricity (Auto Deducted),Light and Heat
BACS: JLL service cost,Management Service Charge
BACS: E.ON monthly charge,Light and Heat
BACS: Lloyds bank withdrawal,Cash withdrawal
Payment - JLL service cost - Processed,Management Service Charge
BACS: Insurance via broker,Insurance
AutoPay - Regulatory compliance legal cost (Ref: 8401),Legal
Payment - Rent for business premises - Thank you,Rent
Monthly phone services,Telephone
Transaction: Rent for business premises,Rent
AutoPay - Bank account standing fee (Ref: 8401),Bank Charges
Auto CT600 submission (Auto Deducted),Corp Tax
AutoPay - Energy payment - Processed,Light and Heat
Insurance via broker (Monthly),Insurance
Faster Payments - Trademark filing fees (Auto Deducted),Legal
Transaction: ATM cash withdrawal,Cash withdrawal
Faster Payments - Lease on workspace,Rent
AutoPay - Corporation tax via BACS (Ref: 8401),Corp Tax
Admin service fee (Auto Deducted),Management Service Charge
Online: Barclays account charge - Thank you,Bank Charges
Bulb energy payment,Light and Heat
Transaction: Monitor cable - PC World,Computer Consumables
AutoPay - Office rent payment (Ref: 8401),Rent
Online: Lloyds bank withdrawal,Cash withdrawal
Transaction: Tax liability settlement,Corp Tax
Faster Payments - Commercial property rent (Auto Deducted),Rent
Transaction: Quarterly management charge (Auto Deducted),Management Service Charge
BACS: Annual accounts by CPA,Accountancy
Faster Payments - Barclays account charge (Ref: 8401),Bank Charges
BACS: Overdraft usage fee - Processed,Bank Charges
Corporation Tax payment to HMRC (Monthly),Corp Tax
Transaction: Facilities upkeep bill - Thank you,Management Service Charge
BACS: Bookkeeping service fee (Monthly),Accountancy
Payment - Utility Warehouse statement (Ref: 8401),Light and Heat
Transaction: British Gas electricity bill,Light and Heat
Transaction: Three business mobile - Processed,Telephone
Payment - IT accessories (Monthly),Computer Consumables
Professional accounting service,Accountancy
BACS: EDF direct debit,Light and Heat
Payment - Cash machine usage (Auto Deducted),Cash withdrawal
AutoPay - VAT return filing - Thank you,Accountancy
AutoPay - Legal services - Johnson LLP - Thank you,Legal
AutoPay - NPower standing charge (Ref: 8401),Light and Heat
AutoPay - Business park fee - Thank you,Management Service Charge
Payment - Regulatory compliance legal cost - Processed,Legal
Bookkeeping service fee (Auto Deducted),Accountancy
Transaction: Account audit charge,Accountancy
Online: British Gas electricity bill - Thank you,Light and Heat
Faster Payments - Banking cost deduction - Processed,Bank Charges
Payment - NPower standing charge (Monthly),Light and Heat
Legal services - Johnson LLP,Legal
Online: Regulatory compliance legal cost,Legal
Online: Cash removed - HSBC (Monthly),Cash withdrawal
Online: Telephone services - BT (Monthly),Telephone
AutoPay - Service charge - building - Thank you,Management Service Charge
Faster Payments - Employer liability policy - Processed,Insurance
Faster Payments - Bank counter cash issue (Monthly),Cash withdrawal
Faster Payments - Manual cash withdrawal - Thank you,Cash withdrawal
Online: Zurich business protection - Thank you,Insurance
Corporation tax via BACS (Monthly),Corp Tax
Faster Payments - HMRC CorpTax online - Processed,Corp Tax
Faster Payments - EE landline charge,Telephone
BACS: Staples toner replacement (Ref: 8401),Computer Consumables
Transaction: Lloyds maintenance cost (Monthly),Bank Charges
Online: SIM plan billing (Monthly),Telephone
Direct Line cover (Monthly),Insurance
Online: Bookkeeping service fee (Ref: 8401),Accountancy
Transaction: Smith Accountants invoice (Auto Deducted),Accountancy
Admin fee from bank (Ref: 8401),Bank Charges
Online: Printer ink from HP (Ref: 8401),Computer Consumables
AutoPay - E.ON monthly charge,Light and Heat
BACS: Financial statement preparation (Monthly),Accountancy
NPower standing charge,Light and Heat
Faster Payments - Office rent payment (Ref: 8401),Rent
Faster Payments - Tax liability settlement,Corp Tax
Faster Payments - Estate maintenance invoice (Monthly),Management Service Charge
Faster Payments - Account audit charge - Thank you,Accountancy
Payment - Fleet insurance payment,Insurance
Payment - Bank fee - online services (Monthly),Bank Charges
Faster Payments - Landlord rent transfer (Auto Deducted),Rent
Transaction charge - HSBC (Monthly),Bank Charges
Payment - E.ON monthly charge - Processed,Light and Heat
Transaction: PC peripherals,Computer Consumables
BACS: VAT return filing - Processed,Accountancy
Payment - ScottishPower electricity (Auto Deducted),Light and Heat
Online: Monthly maintenance service (Auto Deducted),Management Service Charge
Transaction: ATM cash withdrawal - Thank you,Cash withdrawal
Transaction: Lloyds maintenance cost - Processed,Bank Charges
AutoPay - EDF direct debit (Auto Deducted),Light and Heat
AutoPay - Amazon - USB drive,Computer Consumables
Admin service fee - Thank you,Management Service Charge
AutoPay - Lloyds bank withdrawal,Cash withdrawal
Transaction: Insurance via broker (Auto Deducted),Insurance
Payment - Bookkeeping service fee - Processed,Accountancy
Regulatory compliance legal cost,Legal
Online: Amazon - USB drive,Computer Consumables
Building lease monthly (Ref: 8401),Rent
Payment - Three business mobile - Thank you,Telephone
AutoPay - Ebuyer mouse purchase,Computer Consumables
AutoPay - End-year accountancy fee,Accountancy
Online: Banking cost deduction,Bank Charges
Online: O2 mobile invoice,Telephone
Transaction: Lease on workspace,Rent
BACS: O2 mobile invoice (Monthly),Telephone
Transaction: Auto CT600 submission,Corp Tax
BACS: Trademark filing fees (Monthly),Legal
Payment - Quarterly CT600 tax,Corp Tax
Online: Amazon - USB drive (Auto Deducted),Computer Consumables
Online: PC peripherals - Thank you,Computer Consumables
Banking cost deduction (Ref: 8401),Bank Charges
Employer liability policy (Ref: 8401),Insurance
Energy payment (Auto Deducted),Light and Heat
Shared services charge,Management Service Charge
AutoPay - Estate maintenance invoice (Ref: 8401),Management Service Charge
BACS: Facilities upkeep bill (Ref: 8401),Management Service Charge
Faster Payments - Bank account standing fee - Processed,Bank Charges
Payment - JLL service cost,Management Service Charge
Transaction: Tax liability settlement (Auto Deducted),Corp Tax
AutoPay - Monitor cable - PC World (Ref: 8401),Computer Consumables
Faster Payments - Business tax remittance - Thank you,Corp Tax
Faster Payments - Fleet insurance payment (Ref: 8401),Insurance
Lloyds maintenance cost,Bank Charges
AutoPay - Monthly bank service fee (Ref: 8401),Bank Charges
BACS: VAT return filing (Monthly),Accountancy
AutoPay - Business litigation invoice (Monthly),Legal
Payment - Service charge - building (Ref: 8401),Management Service Charge
BACS: Fleet insurance payment (Monthly),Insurance
BACS: PC peripherals - Thank you,Computer Consumables
Faster Payments - PC peripherals,Computer Consumables
Online: Notary and filing (Auto Deducted),Legal
Online: Business tax remittance (Ref: 8401),Corp Tax
Online: IT accessories (Monthly),Computer Consumables
BACS: LegalZoom filing service - Processed,Legal
Payment - Lawyer services,Legal
Transaction: Ebuyer mouse purchase,Computer Consumables
Payment - Tax advisory fees (Monthly),Accountancy
Transaction: Lawyer services - Thank you,Legal
Manual cash withdrawal (Auto Deducted),Cash withdrawal
Online: Printer ink from HP (Auto Deducted),Computer Consumables
BACS: Lloyds bank withdrawal (Monthly),Cash withdrawal
HMRC CorpTax online - Thank you,Corp Tax
BACS: End-year tax settlement - Thank you,Corp Tax
Online: Barclays cash point (Ref: 8401),Cash withdrawal
Faster Payments - Bookkeeping service fee (Auto Deducted),Accountancy
AutoPay - Cashpoint fee,Cash withdrawal
Online: Account audit charge,Accountancy
Transaction: Property management invoice (Ref: 8401),Management Service Charge
Laptop stand - Amazon - Thank you,Computer Consumables
Transaction: Business park fee,Management Service Charge
AutoPay - Barclays cash point - Processed,Cash withdrawal
AutoPay - Bank counter cash issue - Processed,Cash withdrawal
Overdraft usage fee - Thank you,Bank Charges
Online: Smith Accountants invoice (Monthly),Accountancy
Online: Banking cost deduction - Thank you,Bank Charges
Faster Payments - Monthly rent via bank (Auto Deducted),Rent
BACS: VOIP services invoice - Processed,Telephone
AutoPay - Fleet insurance payment (Ref: 8401),Insurance
Faster Payments - Smith Accountants invoice,Accountancy
Faster Payments - Amazon - USB drive (Auto Deducted),Computer Consumables
Online: TalkTalk broadband payment - Thank you,Telephone
Cash removed - HSBC - Processed,Cash withdrawal
Transaction: CT advance payment (Monthly),Corp Tax
Regulatory compliance legal cost - Processed,Legal
End-year accountancy fee - Processed,Accountancy
Online: Premises rental fee,Rent
Online: Insurance via broker (Monthly),Insurance
Faster Payments - EE landline charge (Ref: 8401),Telephone
Faster Payments - Energy payment (Auto Deducted),Light and Heat
Payment - Overdraft usage fee (Ref: 8401),Bank Charges
Office rent payment (Auto Deducted),Rent
Faster Payments - Notary and filing,Legal
BACS: Barclays account charge,Bank Charges
Transaction: Corporation tax via BACS,Corp Tax
Faster Payments - ATM £100 taken (Monthly),Cash withdrawal
AutoPay - Professional accounting service - Processed,Accountancy
Octopus gas supply,Light and Heat
BACS: Property management invoice (Monthly),Management Service Charge
Payment - Lawyer services - Processed,Legal
Transaction: PC peripherals - Processed,Computer Consumables
Transaction: Telephone services - BT (Auto Deducted),Telephone
Payment - Standing order - office rent (Auto Deducted),Rent
AutoPay - Manual cash withdrawal - Thank you,Cash withdrawal
Rent to BusinessLandlord Ltd (Monthly),Rent
Faster Payments - Office Depot keyboard - Processed,Computer Consumables
BACS: Direct Line cover - Thank you,Insurance
BACS: Bookkeeping service fee (Monthly),Accountancy
Payment - IT accessories,Computer Consumables
BACS: Transaction charge - HSBC,Bank Charges
Lease on workspace (Ref: 8401),Rent
Payment - O2 mobile invoice (Monthly),Telephone
Online: Account audit charge - Processed,Accountancy
Online: EDF direct debit,Light and Heat
Online: Trademark filing fees (Ref: 8401),Legal
BACS: USB-C hub from retailer - Processed,Computer Consumables
Online: Staples toner replacement (Monthly),Computer Consumables
AutoPay - Company law consultation - Thank you,Legal
BACS: Three business mobile (Ref: 8401),Telephone
Direct Line cover (Ref: 8401),Insurance
Faster Payments - Company law consultation,Legal
Online: USB-C hub from retailer (Auto Deducted),Computer Consumables
Transaction: Landlord rent transfer (Ref: 8401),Rent
Octopus gas supply,Light and Heat
Fee for international transaction,Bank Charges
Transaction: USB-C hub from retailer - Thank you,Computer Consumables
Transaction: Employer liability policy (Auto Deducted),Insurance
Transaction: Business tax remittance (Auto Deducted),Corp Tax
Overdraft usage fee,Bank Charges
Faster Payments - O2 mobile invoice,Telephone
Faster Payments - Tax advisory fees (Monthly),Accountancy
BACS: Cash removed - HSBC - Thank you,Cash withdrawal
Octopus gas supply (Monthly),Light and Heat
Transaction: CT advance payment (Monthly),Corp Tax
BACS: Trademark filing fees,Legal
AutoPay - Bank account standing fee (Monthly),Bank Charges
Online: Monthly phone services (Monthly),Telephone
AutoPay - Lloyds bank withdrawal (Monthly),Cash withdrawal
Online: LegalZoom filing service - Thank you,Legal
Transaction: Bank fee - online services - Processed,Bank Charges
BACS: Company law consultation,Legal
Payment - Insurance via broker - Thank you,Insurance
Faster Payments - BT monthly bill,Telephone
Faster Payments - End-year accountancy fee (Monthly),Accountancy
Payment - Professional accounting service - Processed,Accountancy
Telephone services - BT - Thank you,Telephone
AutoPay - Utility Warehouse statement - Processed,Light and Heat
BACS: Lloyds bank withdrawal,Cash withdrawal
Bank counter cash issue - Processed,Cash withdrawal
Payment - Auto CT600 submission,Corp Tax
Tax liability settlement - Processed,Corp Tax
Online: Monitor cable - PC World,Computer Consumables
Online: Smart meter top-up (Ref: 8401),Light and Heat
BACS: IT accessories (Monthly),Computer Consumables
Payment - Fee for international transaction - Processed,Bank Charges
Online: Ebuyer mouse purchase - Processed,Computer Consumables
Online: Energy payment,Light and Heat
Transaction: Office rent payment - Thank you,Rent
AutoPay - Cash machine usage (Ref: 8401),Cash withdrawal
Faster Payments - Laptop stand - Amazon (Ref: 8401),Computer Consumables
Online: TalkTalk broadband payment (Ref: 8401),Telephone
Online: Business park fee (Monthly),Management Service Charge
Transaction: Manual cash withdrawal - Processed,Cash withdrawal
Faster Payments - Bank counter cash issue,Cash withdrawal
Online: British Gas electricity bill - Thank you,Light and Heat
Faster Payments - Corporation Tax payment to HMRC - Processed,Corp Tax
Transaction: Cash taken from business account (Monthly),Cash withdrawal
BACS: Auto CT600 submission - Thank you,Corp Tax
Office Depot keyboard,Computer Consumables
Faster Payments - Zurich business protection (Ref: 8401),Insurance
TalkTalk broadband payment - Processed,Telephone
BACS: Bank fee - online services (Ref: 8401),Bank Charges
BACS: LegalZoom filing service - Thank you,Legal
BACS: Solicitor retainer fee (Monthly),Legal
Transaction: Banking cost deduction (Monthly),Bank Charges
Transaction: Banking cost deduction,Bank Charges
AutoPay - Building lease monthly (Auto Deducted),Rent
Faster Payments - Insurance via broker (Auto Deducted),Insurance
Payment - Corporation tax via BACS,Corp Tax
Overdraft usage fee,Bank Charges
Shared services charge (Ref: 8401),Management Service Charge
BACS: SIM plan billing,Telephone
Transaction: Building lease monthly - Thank you,Rent
ATM £100 taken - Thank you,Cash withdrawal
Shared services charge - Thank you,Management Service Charge
Transaction: Company law consultation (Auto Deducted),Legal
Online: Lawyer services,Legal
Payment - Zurich business protection (Monthly),Insurance
Payment - Facilities upkeep bill,Management Service Charge
Faster Payments - Quarterly management charge - Thank you,Management Service Charge
Transaction: Admin service fee (Ref: 8401),Management Service Charge
Payment - Monthly maintenance service - Thank you,Management Service Charge
Online: Company law consultation,Legal
Online: E.ON monthly charge (Auto Deducted),Light and Heat
Transaction: Staples toner replacement (Monthly),Computer Consumables
Faster Payments - Business tax remittance,Corp Tax
Transaction: Professional accounting service (Ref: 8401),Accountancy
AutoPay - Quarterly management charge,Management Service Charge
BACS: Financial statement preparation,Accountancy
AutoPay - CT advance payment - Thank you,Corp Tax
BACS: Shared services charge,Management Service Charge
BACS: Vodafone business plan - Thank you,Telephone
Transaction: Lloyds maintenance cost - Processed,Bank Charges
Online: Cash taken from business account (Monthly),Cash withdrawal
BACS: VAT return filing,Accountancy
BACS: Commercial policy - Aviva (Ref: 8401),Insurance
Payment - EDF direct debit - Processed,Light and Heat
Transaction: Transaction charge - HSBC,Bank Charges
Transaction: ScottishPower electricity (Monthly),Light and Heat
Bulb energy payment,Light and Heat
Transaction: BT monthly bill - Processed,Telephone
Payment - Account audit charge - Processed,Accountancy
AutoPay - British Gas electricity bill (Ref: 8401),Light and Heat
BACS: ScottishPower electricity (Monthly),Light and Heat
Transaction: Annual accounts by CPA (Monthly),Accountancy
BACS: HMRC CorpTax online (Ref: 8401),Corp Tax
AutoPay - Office Depot keyboard (Auto Deducted),Computer Consumables
Payment - Three business mobile (Auto Deducted),Telephone
BACS: Monthly rent via bank,Rent
ATM cash withdrawal (Monthly),Cash withdrawal
BACS: Property management invoice - Processed,Management Service Charge
Transaction: Vodafone business plan - Processed,Telephone
Transaction: Manual cash withdrawal,Cash withdrawal
Online: Rent for business premises (Auto Deducted),Rent
Payment - Financial statement preparation,Accountancy
Online: Tax advisory fees (Monthly),Accountancy
Payment - Octopus gas supply,Light and Heat
Online: Bank account standing fee - Thank you,Bank Charges
Payment - Lloyds maintenance cost (Auto Deducted),Bank Charges
BACS: Landlord rent transfer,Rent
Transaction: Monthly maintenance service (Auto Deducted),Management Service Charge
Transaction: Lawyer services (Monthly),Legal
Payment - Building lease monthly,Rent
AutoPay - Auto CT600 submission (Monthly),Corp Tax
AutoPay - ATM cash withdrawal (Auto Deducted),Cash withdrawal
Faster Payments - Quarterly management charge,Management Service Charge
Transaction: Bulb energy payment (Monthly),Light and Heat
AutoPay - Tax advisory fees - Thank you,Accountancy
AutoPay - JLL service cost (Ref: 8401),Management Service Charge
AutoPay - Energy payment (Ref: 8401),Light and Heat
Online: Annual accounts by CPA,Accountancy
Online: Business tax remittance (Monthly),Corp Tax
Online: O2 mobile invoice - Thank you,Telephone
Faster Payments - Monthly bank service fee,Bank Charges
Monthly bank service fee,Bank Charges
BACS: Bank account standing fee - Thank you,Bank Charges
Office rent payment - Thank you,Rent
Online: JLL service cost,Management Service Charge
Transaction: Cashpoint fee - Processed,Cash withdrawal
BACS: Lloyds maintenance cost (Ref: 8401),Bank Charges
Faster Payments - Auto CT600 submission (Monthly),Corp Tax
Transaction: Commercial policy - Aviva - Thank you,Insurance
BACS: Utility Warehouse statement,Light and Heat
Faster Payments - EDF direct debit,Light and Heat
Payment - SIM plan billing - Thank you,Telephone
BACS: Standing order - office rent,Rent
Transaction: Notary and filing,Legal
AutoPay - Account audit charge (Ref: 8401),Accountancy
Transaction: Standing order - office rent (Auto Deducted),Rent
AutoPay - Contract review charge (Ref: 8401),Legal
Transaction: Admin fee from bank (Ref: 8401),Bank Charges
BACS: Three business mobile (Ref: 8401),Telephone
Online: Tax advisory fees (Monthly),Accountancy
Online: Monthly rent via bank,Rent
Transaction: Zurich business protection - Processed,Insurance
Payment - IT accessories - Thank you,Computer Consumables
BACS: Staples toner replacement,Computer Consumables
Business park fee,Management Service Charge
Faster Payments - Bank fee - online services,Bank Charges
BACS: ScottishPower electricity - Processed,Light and Heat
Payment - Landlord rent transfer (Ref: 8401),Rent
Payment - Printer ink from HP - Thank you,Computer Consumables
AutoPay - Contract review charge - Thank you,Legal
Faster Payments - Fee for international transaction,Bank Charges
Zurich business protection (Ref: 8401),Insurance
Payment - PC peripherals (Ref: 8401),Computer Consumables
Online: Employer liability policy (Ref: 8401),Insurance
Payment - Cash machine usage (Ref: 8401),Cash withdrawal
Facilities upkeep bill (Auto Deducted),Management Service Charge
Payment - Insurance via broker - Processed,Insurance
Faster Payments - Contract review charge,Legal
Payment - Printer ink from HP - Processed,Computer Consumables
BACS: Commercial property rent (Ref: 8401),Rent
Admin fee from bank (Auto Deducted),Bank Charges
Faster Payments - Ebuyer mouse purchase (Auto Deducted),Computer Consumables
Payment - Premises rental fee (Ref: 8401),Rent
Online: VOIP services invoice (Ref: 8401),Telephone
Transaction: Manual cash withdrawal - Thank you,Cash withdrawal
AutoPay - Fee for international transaction (Auto Deducted),Bank Charges
Transaction: Business litigation invoice (Monthly),Legal
Online: Lawyer services - Thank you,Legal
Online: BT monthly bill (Monthly),Telephone
Cashpoint fee (Monthly),Cash withdrawal
BACS: Telephone services - BT,Telephone
Online: Estate maintenance invoice (Auto Deducted),Management Service Charge
Payment - Professional accounting service - Processed,Accountancy
Online: Business litigation invoice - Processed,Legal
Faster Payments - Rent to BusinessLandlord Ltd - Processed,Rent
BACS: Premises rental fee - Thank you,Rent
Payment - Cashpoint fee,Cash withdrawal
Zurich business protection - Thank you,Insurance
Online: Transaction charge - HSBC (Ref: 8401),Bank Charges
BACS: Solicitor retainer fee - Thank you,Legal
Transaction: Building insurance cost (Monthly),Insurance
Rent to BusinessLandlord Ltd (Monthly),Rent
Service charge - building (Auto Deducted),Management Service Charge
Transaction: Corporation Tax payment to HMRC (Ref: 8401),Corp Tax
Faster Payments - BT monthly bill,Telephone
AutoPay - Rent for business premises (Ref: 8401),Rent
Payment - Office Depot keyboard - Thank you,Computer Consumables
Online: Commercial property rent (Ref: 8401),Rent
Faster Payments - Solicitor retainer fee (Monthly),Legal
Octopus gas supply (Ref: 8401),Light and Heat
Faster Payments - Octopus gas supply,Light and Heat
Payment - Corporation tax via BACS - Thank you,Corp Tax
Property management invoice (Monthly),Management Service Charge
Online: End-year accountancy fee (Ref: 8401),Accountancy
Online: Annual insurance renewal,Insurance
AutoPay - End-year accountancy fee (Ref: 8401),Accountancy
Faster Payments - Monthly rent via bank,Rent
BACS: VAT return filing,Accountancy
BACS: End-year accountancy fee - Processed,Accountancy
Online: Landlord rent transfer (Auto Deducted),Rent
Ebuyer mouse purchase (Monthly),Computer Consumables
Transaction: Lloyds maintenance cost,Bank Charges
BACS: HMRC corporation tax settlement (Ref: 8401),Corp Tax
AutoPay - Admin service fee (Ref: 8401),Management Service Charge
Payment - Bulb energy payment (Monthly),Light and Heat
Online: NPower standing charge (Ref: 8401),Light and Heat
Online: Barclays cash point - Processed,Cash withdrawal
Transaction: VOIP services invoice - Processed,Telephone
Faster Payments - AXA insurance premium,Insurance
Transaction: TalkTalk broadband payment (Monthly),Telephone
Transaction: Admin fee from bank - Processed,Bank Charges
Payment - Fee for international transaction (Monthly),Bank Charges
Faster Payments - Facilities upkeep bill,Management Service Charge
Payment - Standing order - office rent (Monthly),Rent
Transaction: Bank counter cash issue,Cash withdrawal
Faster Payments - E.ON monthly charge (Ref: 8401),Light and Heat
AutoPay - End-year accountancy fee - Processed,Accountancy
BACS: Policy charge - Hiscox (Auto Deducted),Insurance
Online: Admin service fee,Management Service Charge
BACS: Service charge - building (Monthly),Management Service Charge
Transaction: Business litigation invoice (Monthly),Legal
Payment - Monitor cable - PC World (Ref: 8401),Computer Consumables
Faster Payments - Vodafone business plan (Auto Deducted),Telephone
BACS: End-year accountancy fee (Auto Deducted),Accountancy
BACS: Fleet insurance payment,Insurance
Online: Service charge - building - Thank you,Management Service Charge
Transaction: HMRC CorpTax online - Thank you,Corp Tax
Transaction: Fleet insurance payment (Auto Deducted),Insurance
AutoPay - Facilities upkeep bill (Monthly),Management Service Charge
AutoPay - Bank fee - online services,Bank Charges
Lease on workspace - Processed,Rent
Online: Building insurance cost - Thank you,Insurance
Payment - BT monthly bill,Telephone
Online: Printer ink from HP - Thank you,Computer Consumables
Online: Legal services - Johnson LLP,Legal
Business tax remittance,Corp Tax
Online: ATM £100 taken (Auto Deducted),Cash withdrawal
Online: O2 mobile invoice,Telephone
BACS: HMRC corporation tax settlement (Ref: 8401),Corp Tax
Transaction: SIM plan billing,Telephone
Payment - Standing order - office rent,Rent
Vodafone business plan (Ref: 8401),Telephone
Transaction: Bank fee - online services (Monthly),Bank Charges
Online: Fleet insurance payment,Insurance
Transaction: Lloyds bank withdrawal (Monthly),Cash withdrawal
AutoPay - Office Depot keyboard - Processed,Computer Consumables
BACS: Annual insurance renewal (Ref: 8401),Insurance
Payment - Cash removed - HSBC,Cash withdrawal
Transaction: HMRC corporation tax settlement,Corp Tax
Faster Payments - Annual accounts by CPA (Monthly),Accountancy
BACS: Smart meter top-up - Thank you,Light and Heat
Faster Payments - Policy charge - Hiscox,Insurance
BACS: Premises rental fee - Processed,Rent
Payment - EDF direct debit (Monthly),Light and Heat
Online: Monthly phone services - Thank you,Telephone
Legal services - Johnson LLP,Legal
AutoPay - Three business mobile - Processed,Telephone
BACS: Trademark filing fees,Legal
Faster Payments - Smart meter top-up (Auto Deducted),Light and Heat
AutoPay - Employer liability policy (Ref: 8401),Insurance
Online: Business park fee,Management Service Charge
BACS: Solicitor retainer fee,Legal
Online: HMRC corporation tax settlement (Auto Deducted),Corp Tax
Transaction: JLL service cost,Management Service Charge
Payment - ATM £100 taken,Cash withdrawal
USB-C hub from retailer,Computer Consumables
AutoPay - Cash removed - HSBC,Cash withdrawal
AutoPay - VOIP services invoice (Monthly),Telephone
Online: Banking cost deduction,Bank Charges
Faster Payments - Vodafone business plan,Telephone
AutoPay - PC peripherals - Processed,Computer Consumables
Transaction: Transaction charge - HSBC (Ref: 8401),Bank Charges
Payment - SIM plan billing (Ref: 8401),Telephone
Payment - Contract review charge,Legal
BACS: Solicitor retainer fee (Ref: 8401),Legal
Faster Payments - Policy charge - Hiscox,Insurance
Transaction: Fee for international transaction (Monthly),Bank Charges
BACS: Bookkeeping service fee (Monthly),Accountancy
Faster Payments - Notary and filing - Thank you,Legal
Faster Payments - Tax liability settlement - Thank you,Corp Tax
BACS: Lloyds bank withdrawal - Processed,Cash withdrawal
Transaction: Barclays account charge,Bank Charges
Faster Payments - Solicitor retainer fee,Legal
Faster Payments - Barclays cash point (Ref: 8401),Cash withdrawal
AutoPay - Energy payment - Processed,Light and Heat
Amazon - USB drive - Thank you,Computer Consumables
BACS: Bulb energy payment - Processed,Light and Heat
BACS: EDF direct debit - Processed,Light and Heat
Online: Overdraft usage fee - Thank you,Bank Charges
Transaction: Employer liability policy (Auto Deducted),Insurance
Faster Payments - LegalZoom filing service,Legal
Insurance via broker - Thank you,Insurance
End-year tax settlement - Thank you,Corp Tax
BACS: Financial statement preparation (Monthly),Accountancy
BACS: Company law consultation,Legal
AutoPay - E.ON monthly charge (Auto Deducted),Light and Heat
